_id,invite_code,new_invite_code,invite.guild.id,invite.guild.name,invite.approximate_member_count
5f914e88ecf5a59e4a58c342,aaceQc,UFyvAzJ,691645519088582677,REWOG ID SERVER,7
5f914e8fecf5a59e4a58c343,aacB7d,ZHZ55S5,763526517077835786,UCSB ECE - Class of 2022,99
5f914e91ecf5a59e4a58c344,aacHDF,RTmv8Th,621845746924257281,PLAN MARSHALL,240
5f914e95ecf5a59e4a58c345,aabrtb,Ewk55kJ,759413478833782784,d7oomy999,31445
5f914ea3ecf5a59e4a58c346,aacyEc,h9Q7sbj,757633558931046441,Servidor de Ret,16
5f914ea6ecf5a59e4a58c347,aabNQW,gAwsTU4,740580271723905125,🕷~HALLOWEEN!~  10 Wonders🎃,20
5f914eacecf5a59e4a58c348,aacQEj,atyWZ3s,768615959539744769,Amoung us?,2
5f914eb4ecf5a59e4a58c349,aacUDe,s7JTz7H,716193973642985514,Twitch,263
5f914eb5ecf5a59e4a58c34a,aacVwh,AfZ8hCf,724680448747241495,Prs line,24
5f914eb6ecf5a59e4a58c34b,aacV73,fgMFpr5,609953317891604540,🎃DOGEROS🎃,47
5f914eb6ecf5a59e4a58c34c,aacbzr,null,636278918004867072,11 Rings of Hell,62
5f914ebaecf5a59e4a58c34d,aacWRh,WT4RDTn,768531737918963733,khaled.,3
5f914ebfecf5a59e4a58c34e,aacpeb,dGEVwVQ,768558957676593204,masterspy’s hangout,1
5f914ec0ecf5a59e4a58c34f,aacpJX,cbbWXf2,706182778747617281,Crackhead squad,11
5f914ecaecf5a59e4a58c350,aacVqE,null,748739598938669137,Săn Vĩ Thú Cho Fan,1434
5f914eccecf5a59e4a58c351,aacvKf,null,163965373903798272,수다방방구리당당,44
5f914ed1ecf5a59e4a58c352,aac2wX,3AS2ZNC,763175196831252500,αυɾσɾα 🦇,216
5f914ed5ecf5a59e4a58c353,aac65t,JqtFaR9,765304264096219164,sasho i spageti,11
5f914edcecf5a59e4a58c354,aac92u,null,735782665357230091,♡ Miso Crossing ♡,2214
5f914ee6ecf5a59e4a58c355,aadbu9,vvmPEx9,768134892608290826,Economía de Survival,52
5f914ee7ecf5a59e4a58c356,aadcJf,7CWbpV6,768567262365089802,server with all u idiots,4
5f914eeaecf5a59e4a58c357,aabVJB,9dw62Tr,752251410833342584,CAMPS FF,211
5f914ef7ecf5a59e4a58c358,aacke4,MV8Xthg,498880043871895552,Le château de Dilion,96
5f914efbecf5a59e4a58c359,aacrjr,eryvQqG,758604527116615693,「༻Loli Coffee༺」,29
5f914f04ecf5a59e4a58c35a,aadnrN,wc3q8Hc,716638073169117316,EliteSquad eSports™,174
5f914f05ecf5a59e4a58c35b,aacSkc,4CBDuNU,768419682150645763,เซิร์ฟเวอร์ของ I sus,6
5f914f05ecf5a59e4a58c35c,aadjhn,ChNbdSp,695647326798086265,mc gra xd,7
5f914f0fecf5a59e4a58c35d,aads8s,CPVPYCd,768634531728457730,VA Hive,10
5f914f11ecf5a59e4a58c35e,aacbjz,cfRUMzj,486446210438135818,Казино притон,44
5f914f13ecf5a59e4a58c35f,aadgmn,TEJkEyz,760657615788179486,Chaotic Gays (and guest),15
5f914f16ecf5a59e4a58c360,aadvkg,a9ECg2D,768511822038827070,Voodoo Traders,3
5f914f17ecf5a59e4a58c361,aadwbS,H4sndnz,600887922413273118,El Templo del Profeta,20251
5f914f1aecf5a59e4a58c362,aadpGZ,n45v4V2,745647013084790817,♠IZI GOLDA♠,1448
5f914f21ecf5a59e4a58c363,aadnV8,TZtb6xb,760308099789357097,Pete,5
5f914f2becf5a59e4a58c364,aads3Q,YGVJ9ug,619949638211993640,TILAPIA,107
5f914f2cecf5a59e4a58c365,aadDqh,ZvnQbGK,758308909693403158,"Manthan kanani's server",13
5f914f37ecf5a59e4a58c366,aadHfJ,95mt6C5,741419654244859935,FULL RUSH OFICIAL,86
5f914f3becf5a59e4a58c367,aadC6b,CZjnbFr,753807020611600506,El servidor de ༄Sᴳ᭄Rayo࿐,11
5f914f46ecf5a59e4a58c368,aadAwz,null,630032621937623072,La Mafia,56
5f914f52ecf5a59e4a58c369,aadQKN,8dJw2Ay,742259251682082867,Free Fire,7
5f914f5becf5a59e4a58c36a,aadQPU,DG7g5pq,767798639879520306,jz chillsch mal ne runde,14
5f914f5eecf5a59e4a58c36b,aadWcn,CV4gegE,768456592890003525,ahmed khaled,1
5f914f69ecf5a59e4a58c36c,aadTw6,null,313719914173169675,ESHL League Gaming,1248
5f914f6cecf5a59e4a58c36d,aadzVb,GCFdjGD,666485332354662450,NACIÓN SHUEK,17
5f914f71ecf5a59e4a58c36e,aad2S7,null,741721648843194411,Among Us LFG,145315
5f914f71ecf5a59e4a58c36f,aad2cX,uXZ7J49,727809261689765899,MHGU/Rise for the Switch,25
5f914f73ecf5a59e4a58c370,aad3tb,Z4dgVjB,768546945916207155,"ShandCobb's server",5
5f914f77ecf5a59e4a58c371,aadvrN,Nhf9X9F,577725901945569295,jaybesus gaming,91
5f914f7decf5a59e4a58c372,aacPUS,fRMAvZH,755813741341310988,⚡CIRCUITO⁴⁴⚡,75
5f914f7decf5a59e4a58c373,aacW7y,r5U5w5A,768442502033571840,"MC'DONALD'S",6
5f914f82ecf5a59e4a58c374,aadJhy,NvVNWXu,550350033204019222,Yerbaz club,70
5f914f91ecf5a59e4a58c375,aaeeUB,pQPzCdx,749452432207118448,"leesonic's server",2
5f914f92ecf5a59e4a58c376,aaefyW,null,722874431785140285,𝘿𝙀𝙑𝙄𝙇👁⃤𝙀𝙈𝙋𝙀𝙍𝙊𝙍,1099
5f914f96ecf5a59e4a58c377,aaegXK,XUDs4J7,756774728135475291,-메-,4
5f914f9eecf5a59e4a58c378,aad2ss,RUaxbSs,708003091177275392,Paradise 4EVER,124
5f914fa0ecf5a59e4a58c379,aaekyG,yXuYxB8,671352748222054413,140364,337
5f914fa1ecf5a59e4a58c37a,aaekEW,S9B3rtG,753675010551316581,Игравой канал,14
5f914fa6ecf5a59e4a58c37b,aadT5n,2bCSkKA,768633001495756812,CS Club,7
5f914fa7ecf5a59e4a58c37c,aaemqn,QTYYMzs,768131292025585704,Demonetized MC,18
5f914fb0ecf5a59e4a58c37d,aaemJv,5tP7prY,754522640730947584,"leandro huilipan's server",5
5f914fb1ecf5a59e4a58c37e,aadCrp,7p63Yuc,749319202862661688,💸 Vale do Aço 🍻,1538
5f914fbcecf5a59e4a58c37f,aaeu6R,A5RR864,762623620064215042,Vedis lil hangout,40
5f914fbfecf5a59e4a58c380,aac9FF,hzYfrr6,754191126931701812,among us,19
5f914fd2ecf5a59e4a58c381,aaeB2X,Kc4pr4K,740012022191882420,Cornwall Gang,10
5f914fd6ecf5a59e4a58c382,aaezq8,null,725409723998011482,𝗧𝗲𝗮𝗺𝟴𝗶𝗴𝗵𝘁 𝗖𝗢𝗗𝗠,146
5f914fd7ecf5a59e4a58c383,aaeFp9,XzXzVGJ,723776438712664094,"!!Sky's Server!!",21
5f914fdbecf5a59e4a58c384,aaeGAy,9CwmuKu,754167303410679859,Kitty Shop,98
5f914fe8ecf5a59e4a58c385,aaenTc,null,742145615718252684,The Berry,66
5f914fe9ecf5a59e4a58c386,aaeGkZ,2kJ6UEK,761249472708739102,Newton College,20
5f915007ecf5a59e4a58c387,aaen5E,PjAHupR,700518562275786782,Travis server,8
5f91500cecf5a59e4a58c388,aaeYYf,nQjjAC3,620301129263349783,peixoteiros,17
5f91501cecf5a59e4a58c389,aae26z,QN2tCvN,768583227714568202,Servidor da galerinha,5
5f91501decf5a59e4a58c38a,aae5Df,VjbMDmM,723944735479431168,NASI YAZILIYOO,11
5f915024ecf5a59e4a58c38b,aaeUdQ,Azjf6vv,753007861491040306,Game Room,40
5f915025ecf5a59e4a58c38c,aae7aT,ys64GDp,724984617110601768,ARAB LAND|عرب لاند,241
5f915025ecf5a59e4a58c38d,aae6e7,WKXe4GB,768640361673130005,"shadowwrld_aj's server",1
5f91502aecf5a59e4a58c38e,aae6mY,ZN2aP6y,752639087843737663,q pasa chavles,37
5f91502eecf5a59e4a58c38f,aafbWQ,UVqjfXH,736479824830529618,milk #BAKIMDA,616
5f915033ecf5a59e4a58c390,aae6Gx,QEWqXfA,551200569801572373,brodis,16
5f915040ecf5a59e4a58c391,aaeVEU,G9DASAD,764637666473541652,Honour Squad,11
5f915045ecf5a59e4a58c392,aafbKD,a8DTQnb,768470377390538799,FORTNITE,3
5f915059ecf5a59e4a58c393,aafqWC,hRV4mQj,718180540959948831,Qasabakan,6547
5f915062ecf5a59e4a58c394,aafuFb,3Thhprv,751497309199532112,• 𝐏𝐑𝐎𝐅𝐄𝐒𝐇𝐍𝐀𝐋•𝐒𝐐𝐔𝐀𝐃•,1563
5f91507becf5a59e4a58c395,aafDvR,wvTfQBE,767941312955154432,El servidor de PICHUELO,6
5f91507decf5a59e4a58c396,aafEn9,Q2qmYnp,765268811024302122,El servidor de cuchi,14
5f915082ecf5a59e4a58c397,aafGF3,z44PSqj,702642280913436745,dead rainbow 2077,1
5f915085ecf5a59e4a58c398,aaeRnz,53VWfe7,731887138437595177,CARVILAND V2,62
5f91508aecf5a59e4a58c399,aafKgY,NJxuSNp,710291837566451782,"Darling_yt's hangout server",4
5f91508eecf5a59e4a58c39a,aafyS7,Dc5RMWv,768734563887087626,Smith River Rescue Squad,1
5f915093ecf5a59e4a58c39b,aafASJ,F9meFPt,764526605862174720,Bruh Cringe dont invite randoms,7
5f91509aecf5a59e4a58c39c,aafKNa,null,406331951625011210,Nova Scotia,17
5f91509aecf5a59e4a58c39d,aafKWM,MdXhGRS,768678092548866069,My boo,4
5f91509fecf5a59e4a58c39e,aafQVm,GermZ66,766784261020844034,୨୧ ⸝⸝ jias portal . . 3O+,16
5f9150b2ecf5a59e4a58c39f,aafZAE,DbxWqXd,608026394085163126,scary City 17(38),26
5f9150b5ecf5a59e4a58c3a0,aafWkw,null,519243336280702995,La Caja,29
5f9150beecf5a59e4a58c3a1,aaf2K6,bByR8gm,731173546461626369,Fort,6
5f9150beecf5a59e4a58c3a2,aaf2Et,uvc4fbj,731404849559633940,Ori,165
5f9150c0ecf5a59e4a58c3a3,aaf3cX,gGPXvqG,670780069521784875,Ops Army,13564
5f9150d3ecf5a59e4a58c3a4,aaga3Z,vNsQRyZ,752198798138146837,Among Us,25
5f9150d9ecf5a59e4a58c3a5,aaf5fH,u8baUgy,755550485125136525,La Cloaca: Among us,107
5f9150dbecf5a59e4a58c3a6,aaf6VK,pA6DfBE,755339506517016637,Among us - //Impostor vs Tripulante\\,821
5f9150dfecf5a59e4a58c3a7,aaf33k,null,767676678369050624,"JoshYT's Discord",10
5f9150dfecf5a59e4a58c3a8,aagfvn,null,674127750155468820,DL-Dragon_Lord,58
5f9150e7ecf5a59e4a58c3a9,aaf49M,cYs3wqy,715280500868120688,ITALIAN FREEROAM 2.0,2793
5f9150eaecf5a59e4a58c3aa,aaf9Ug,null,768213096576843787,asna teem server,16
5f9150f4ecf5a59e4a58c3ab,aagjQr,CeXPjaY,760853837212024844,"'Lɪғᴇ #Bakımda",159
5f9150f6ecf5a59e4a58c3ac,aafHwR,2XHvx65,742446753248182353,El servidor de pablogarcia205,15
5f9150faecf5a59e4a58c3ad,aagjmH,gZMuj9a,764662908302524427,A sufficient amount of lads,11
5f915100ecf5a59e4a58c3ae,aaewz2,9aCuZa3,768636841431138304,nico,2
5f915100ecf5a59e4a58c3af,aagq8m,v9Yfcjp,762377086521442325,𝐁𝐥𝐨𝐱𝐛𝐮𝐫𝐠𝐇𝐢𝐝𝐞𝐨𝐮𝐭,47
5f915102ecf5a59e4a58c3b0,aaga7Q,BAXpHGy,768451635168411678,roblox game,1
5f91510eecf5a59e4a58c3b1,aaf9nF,hdMS4gz,557246572799328266,märicelloo,49
5f91510fecf5a59e4a58c3b2,aagw6N,csD5GG3,768481497262456833,TikTok Gamers Room,8
5f915116ecf5a59e4a58c3b3,aafrsn,8B3nRRv,766867998124015617,"Celina Nude's",6723
5f915119ecf5a59e4a58c3b4,aaf6xy,gWdu63c,494139090069880842,Blob Kingdom [M&Y Ban Appeal],1630
5f91511aecf5a59e4a58c3b5,aagh2A,null,742774593571520553,Stupid Daily,93
5f91511decf5a59e4a58c3b6,aagDRf,9VuAPkR,740188189339287705,our server,18
5f91511fecf5a59e4a58c3b7,aagDqY,D7VMgyC,756279565633978429,Among US (Arabic),3955
5f91511fecf5a59e4a58c3b8,aaf5Uw,qvj45PT,717088528953245708,The Supreme Communists,7
5f91511fecf5a59e4a58c3b9,aafHJx,QrManeW,763556948066828289,Nigerian Immigrants Great Grand Archives,26
5f915129ecf5a59e4a58c3ba,aagFp5,wwxnANk,736870173084090389,TangoExploitZ| Offical Hangout Server,29
